,0
0,0.05
1,1.63
2,2.21
3,2.41
4,2.6
5,2.89
6,3.37
7,5.18
8,5.65
9,6.33
10,7.19
11,7.54
12,8.02
13,10.26
14,11.02
15,11.61
16,12.39
17,14.02
18,15.02
19,15.82
20,17.58
21,17.66
22,18.92
23,19.42
24,20.49
25,22.02
26,22.39
27,22.87
28,23.03
29,24.02
30,24.35
31,31.11
32,32.1
33,36.02
34,36.21
35,38.39
36,42.02
37,44.67
38,45.06
39,45.61
40,46.1
41,46.63
42,47.02
43,49.18
44,50.02
45,51.37
46,53.28
47,53.95
48,54.24
49,55.02
50,56.02
51,56.15
52,56.57
53,56.66
54,57.95
55,58.7
56,59.02
57,59.22
58,60.0
59,60.12
60,60.52
61,62.02
62,64.15
63,67.49
64,68.02
65,68.53
66,68.88
67,69.36
68,69.72
69,70.02
70,70.3
71,70.68
72,71.02
73,72.02
74,72.56
75,73.02
76,74.52
77,74.67
78,75.02
79,76.02
80,77.02
81,79.02
82,79.08
83,79.73
84,79.8
85,80.01
86,80.83
87,81.02
88,81.09
89,81.33
90,81.56
91,82.02
92,82.24
93,82.35
94,82.78
95,82.93
96,83.6
97,84.73
98,85.14
99,86.02
100,86.84
101,88.64
102,88.76
103,89.02
104,89.76
105,92.5
106,94.02
107,94.69
108,95.02
109,95.15
110,96.02
111,96.66
112,97.02
113,99.02
114,100.46
115,100.53
116,101.02
117,101.37
118,101.67
119,102.02
120,102.77
121,103.91
122,104.23
123,104.69
124,105.12
125,106.33
126,107.84
127,112.43
128,112.61
129,112.73
130,112.89
131,115.18
132,116.23
133,117.33
134,118.36
135,118.85
136,119.02
137,120.18
138,120.64
139,120.82
140,121.02
141,121.78
142,122.28
143,122.42
144,122.49
145,123.04
146,124.13
147,124.33
148,124.51
149,124.87
150,125.07
151,125.11
152,125.81
153,125.94
154,126.31
155,126.52
156,126.69
157,127.02
158,127.6
159,127.8
160,127.86
161,128.02
162,128.17
163,129.65
164,130.39
165,130.68
166,132.02
167,132.79
168,133.19
169,136.33
170,136.92
171,138.31
172,142.56
173,144.0
174,144.54
175,145.53
176,146.02
177,146.1
178,146.26
179,148.51
180,148.86
181,154.97
182,155.53
183,156.0
184,156.49
185,157.24
186,157.86
187,158.22
188,159.05
189,159.14
190,160.02
191,160.55
192,163.15
193,163.76
194,163.84
195,164.02
196,164.09
197,164.14
198,165.46
199,166.73
200,169.86
201,170.02
202,171.78
203,174.02
204,174.82
205,175.02
206,175.7
207,177.54
208,178.38
209,178.9
210,179.2
211,179.3
212,180.34
213,180.67
214,182.21
215,182.39
216,182.49
217,184.2
218,184.37
219,184.48
220,184.84
221,185.02
222,185.88
223,186.38
224,186.63
225,186.81
226,188.32
227,188.56
228,188.6
229,188.85
230,189.01
231,189.34
232,189.57
233,189.76
234,190.02
235,190.98
236,191.02
237,191.38
238,192.29
239,192.5
240,192.7
241,192.87
242,192.91
243,193.02
244,193.82
245,193.87
246,194.02
247,194.25
248,194.73
249,195.02
250,195.51
251,196.02
252,196.26
253,196.94
254,197.5
255,198.47
256,199.52
257,199.65
258,199.73
259,199.84
260,200.06
261,200.23
262,200.28
263,200.34
264,201.59
265,201.89
266,203.02
267,203.47
268,203.78
269,204.51
270,204.6
271,205.03
272,205.43
273,205.69
274,206.02
275,206.41
276,206.74
277,206.81
278,206.92
279,207.11
280,207.16
281,208.14
282,209.24
283,210.3
284,210.37
285,210.42
286,210.5
287,210.84
288,211.02
289,211.25
290,211.37
291,211.84
292,212.02
293,212.06
294,212.19
295,212.31
296,212.44
297,212.58
298,213.0
299,213.13
300,213.47
301,213.57
302,213.69
303,214.02
304,214.39
305,214.48
306,214.7
307,215.08
308,215.5
309,215.55
310,216.02
311,216.21
312,217.68
313,222.23
314,223.29
315,223.91
316,226.77
317,228.51
318,229.16
319,229.58
320,229.7
321,229.75
322,230.09
323,230.59
324,231.02
325,231.24
326,232.33
327,233.32
328,234.46
329,235.61
330,236.41
331,237.32
332,237.7
333,237.95
334,238.02
335,238.21
336,238.32
337,239.05
338,239.16
339,239.28
340,239.36
341,239.5
342,239.65
343,239.74
344,239.88
345,241.79
346,242.02
347,242.19
348,247.72
349,248.27
350,249.02
351,249.49
352,252.02
353,254.44
354,254.64
355,255.9
356,256.26
357,257.01
358,257.29
359,258.12
360,258.25
361,259.41
362,260.17
363,260.58
364,260.92
365,263.3
366,267.8
367,267.84
368,268.41
369,269.0
370,269.7
371,270.02
372,272.18
373,272.8
374,273.02
375,273.84
376,277.2
377,280.71
378,281.51
379,281.8
380,281.84
381,284.02
382,286.96
383,287.21
384,287.73
385,289.02
386,290.73
387,291.22
388,291.37
389,291.65
390,291.91
391,292.21
392,292.6
393,293.26
394,293.63
395,295.31
396,295.85
397,296.23
398,297.35
399,297.39
400,297.59
401,297.69
402,297.8
403,298.9
404,299.2
405,299.29
406,299.5
407,299.95
408,300.1
409,300.19
410,300.33
411,300.47
412,300.65
413,301.05
