,0
414,301.21
415,301.38
416,301.48
417,302.02
418,302.89
419,303.02
420,303.06
421,303.45
422,303.66
423,303.83
424,304.02
425,304.31
426,304.69
427,304.91
428,305.0
429,305.07
430,305.2
431,307.29
432,307.49
433,310.29
434,310.86
435,311.26
436,311.72
437,312.16
438,312.25
439,313.01
440,313.93
441,315.02
442,315.06
443,316.3
444,318.65
445,318.83
446,319.27
447,319.74
448,320.02
449,320.49
450,320.77
451,321.18
452,321.27
453,322.02
454,322.68
455,323.02
456,323.16
457,323.9
458,324.02
459,324.73
460,324.87
461,325.02
462,325.73
463,325.77
464,325.91
465,326.02
466,327.02
467,327.46
468,327.7
469,327.82
470,328.2
471,329.29
472,331.11
473,331.26
