,0
0,6.9775963
1,7.465215
2,8.057324
3,9.032562
4,9.218322
5,9.705941
6,10.01941
7,10.27483
8,10.646349
9,10.750839
10,11.250068
11,11.691247
12,11.795737
13,12.016327
14,12.144036
15,12.329796
16,13.026395
17,13.792653
18,14.024853
19,14.686622
20,15.023311
21,16.021769
22,16.137869
23,16.323627
24,16.579048
25,17.124716
26,17.182766
27,17.322086
28,17.774876
29,17.937414
30,18.761723
31,19.028753
32,19.725351
33,20.02721
34,20.21297
35,20.816689
36,21.02567
37,21.455238
38,21.536509
39,21.745487
40,21.919638
41,22.024126
42,22.476915
43,23.022585
44,23.788843
45,24.822132
46,24.880182
47,25.05433
48,25.56517
49,25.9483
50,26.01796
51,26.772608
52,26.819048
53,27.016417
54,28.583765
55,29.024942
56,29.326803
57,30.023401
58,30.139502
59,30.58068
60,31.137959
61,32.020317
62,32.612427
63,32.693695
64,33.262585
65,33.483173
66,33.854694
67,35.75873
68,36.21152
69,36.58304
70,36.69914
71,36.942947
72,37.02422
73,37.755646
74,38.034286
75,38.150387
76,38.312923
77,38.788933
78,39.021133
79,39.14884
80,39.334602
81,39.427483
82,39.81061
83,40.066032
84,40.83229
85,41.02966
86,41.64499
87,41.94685
88,42.02812
89,42.14422
90,43.154285
91,43.874104
92,44.117912
93,45.20925
94,45.6156
95,46.02195
96,46.25415
97,46.90431
98,47.310658
99,47.670567
100,48.181404
101,48.483265
102,48.785126
103,48.901226
104,49.121815
105,50.13188
106,50.58467
107,50.9678
108,51.954647
109,52.210068
110,52.964718
111,53.115646
112,53.789024
113,53.998005
114,54.125713
115,54.520454
116,54.717823
117,55.019684
118,55.309933
119,55.58857
120,55.71628
121,55.99492
122,56.401268
123,57.05143
124,58.107937
125,58.723267
126,59.025124
127,59.443085
128,59.76816
129,60.15129
130,60.45315
131,60.81306
132,61.02204
133,61.21941
134,61.53288
135,61.98567
136,62.438457
137,62.7171
138,63.018955
139,63.169888
140,63.715557
141,63.866486
142,64.02902
143,64.597916
144,64.737236
145,64.99265
146,65.29451
147,65.65442
148,66.01433
149,66.16526
150,66.35102
151,67.233376
152,67.55846
153,67.8371
154,68.02286
155,68.278275
156,68.67302
157,69.02132
158,69.68308
159,70.019775
160,70.34486
161,70.90213
162,71.45941
163,71.90059
164,72.63202
165,73.00354
166,73.31701
167,73.479546
168,73.73496
169,73.96716
170,74.002
171,74.338684
172,74.663765
173,75.023674
174,75.76671
175,75.8712
176,76.126625
177,76.4517
178,77.19474
179,77.41533
180,77.45016
181,77.624306
182,77.90295
183,78.00744
184,78.309296
185,78.55311
186,78.64599
187,79.56317
188,79.78377
189,80.596466
190,80.74739
191,81.14213
192,81.95483
193,82.89524
194,83.12744
195,83.33642
196,83.94014
197,84.555466
198,85.008255
199,85.379776
200,85.925446
201,89.09496
202,89.9541
203,90.77841
204,91.67238
205,91.84653
206,92.02068
207,92.14839
208,92.206436
209,92.29932
210,92.752106
211,93.564804
212,93.91311
213,94.389114
214,94.981224
215,95.92163
216,96.73433
217,97.02458
218,97.721176
219,97.84889
220,98.01143
221,99.125984
222,99.39301
223,99.543945
224,99.903854
225,100.01995
226,100.449524
227,100.62367
228,100.83266
229,101.01841
230,101.099686
231,101.88916
232,102.64381
233,102.96889
234,103.02694
235,103.3288
236,103.4449
237,104.31564
238,104.52463
239,104.74522
240,105.12834
241,105.232834
242,105.3141
243,105.511475
244,105.70885
245,105.7785
246,106.13841
247,106.95111
248,107.02077
249,107.12526
250,107.2878
251,107.39229
252,107.78703
253,108.40236
254,108.53007
255,108.611336
256,108.64617
257,109.80717
258,110.23673
259,110.434105
260,110.712746
261,111.026215
262,111.40934
263,111.78086
264,112.01306
265,112.50068
266,113.24372
267,113.533966
268,113.71973
269,113.893875
270,113.97515
271,114.207344
272,114.40472
273,114.66013
274,114.74141
275,115.60055
276,115.681816
277,116.19265
278,116.51773
279,117.21433
280,117.66712
281,118.06186
282,118.15474
283,118.49143
284,118.87456
285,118.97905
286,119.02549
287,119.06032
288,120.34902
289,120.48834
290,120.69733
291,120.98757
292,121.21977
293,122.11374
294,122.601364
295,123.19347
296,123.84363
297,124.02939
298,124.41251
299,124.551834
300,124.70277
301,125.155556
302,125.49225
303,125.73605
304,126.31655
305,127.117645
306,127.40789
307,127.82585
308,127.95356
309,128.5689
310,129.01007
311,129.14938
312,129.8692
313,131.0186
314,131.57587
315,132.00545
316,132.31891
317,132.94585
318,133.10838
319,133.44508
320,133.68889
321,134.02557
322,134.79184
323,135.02403
324,135.18657
325,135.25624
326,135.61615
327,135.73224
328,135.99927
329,136.28952
330,136.83519
331,137.02095
332,137.57823
333,137.6595
334,138.41415
335,138.57669
336,138.8321
337,139.02948
338,139.22685
339,139.5055
340,139.87701
341,140.02794
342,140.24852
343,141.7346
344,141.86232
345,142.03647
346,142.199
347,142.75629
348,143.33678
349,144.11465
350,144.42812
351,144.84608
352,145.14793
353,145.46141
354,145.51945
355,145.60072
356,146.01869
357,146.92427
358,147.23773
359,147.35384
360,147.5396
361,147.81824
362,148.0272
363,148.51483
364,149.0605
365,149.93124
366,150.26793
367,150.39565
368,150.63945
369,151.02258
370,151.88173
371,152.74086
372,153.0195
373,153.22849
374,154.2966
375,154.5404
376,154.71455
377,154.98158
378,155.34149
379,155.68979
380,155.89877
381,156.3864
382,156.92046
383,157.24553
384,157.61705
385,157.70993
386,157.82603
387,158.30205
388,158.70839
389,159.26567
390,159.37016
391,159.79973
392,160.40344
393,160.50793
394,160.76335
395,161.11165
396,161.518
397,161.85469
398,161.93596
399,162.02884
400,162.52808
401,162.77188
402,163.27112
403,164.0722
404,164.24635
405,164.64108
406,165.02422
407,165.4654
408,165.83691
409,165.90657
410,166.02267
411,166.5103
412,166.78894
413,167.02113
414,167.4507
415,167.64807
416,167.76418
417,167.9151
418,168.1357
419,168.46077
420,169.04128
421,169.0877
422,169.55211
423,169.71465
424,170.02812
425,174.74178
426,178.99103
427,179.14195
428,179.24644
429,179.52509
430,179.5599
431,180.0243
432,180.11719
433,180.38422
434,180.75574
435,181.19691
436,181.34784
437,181.67293
438,182.26503
439,182.36952
440,182.79909
441,183.24026
442,183.35637
443,183.76273
444,184.01814
445,185.02821
446,185.19075
447,185.37651
448,185.6087
449,186.01506
450,186.43301
451,186.68843
452,187.19928
453,187.3502
454,188.31383
455,188.40671
456,188.48798
457,188.84789
458,189.23102
459,190.0089
460,190.39201
461,190.63583
462,190.89125
463,191.68073
464,191.80844
465,192.24962
466,192.28444
467,192.48181
468,193.02748
469,193.41061
470,193.52672
471,194.00272
472,194.38585
473,194.53677
474,195.76744
475,195.86032
476,195.91837
477,196.02286
478,197.02132
479,197.20708
480,197.55537
481,198.01978
482,198.42612
483,198.71637
484,198.82086
485,199.23882
486,199.48264
487,199.68
488,199.83093
489,199.94704
490,200.56236
491,201.02676
492,201.34023
493,201.54921
494,201.82785
495,202.4664
496,202.95401
497,203.22104
498,203.49968
499,203.83636
500,204.69551
501,205.09026
502,205.15991
503,205.45016
504,205.93777
505,206.27446
506,207.63283
507,207.79538
508,208.01596
509,208.25977
510,208.58485
511,208.9912
512,209.43239
513,209.7923
514,210.5005
515,211.01134
516,211.4409
517,212.10268
518,212.52063
519,212.8341
520,213.01987
521,213.65842
522,213.73969
523,214.02994
524,214.12282
525,214.43628
526,215.16771
527,215.2722
528,215.53923
529,215.89914
530,216.02686
531,217.22267
532,217.33878
533,217.42004
534,218.02376
535,218.92934
536,219.02222
537,219.3357
538,219.73044
539,219.85814
540,220.24127
541,220.78694
542,220.86821
543,221.01913
544,221.19328
545,222.18013
546,222.9464
547,224.25832
548,224.5834
549,224.83882
550,224.98975
551,225.02458
552,225.80244
553,225.89532
554,226.15074
555,226.59193
556,226.74286
557,227.11438
558,227.3698
559,227.50911
560,228.47275
561,229.09969
562,229.68018
563,230.02849
564,230.23746
565,230.7599
566,230.99211
567,231.15465
568,231.23592
569,231.561
570,231.81642
571,231.92091
572,232.02539
573,232.26921
574,232.5014
575,232.58267
576,232.87292
577,233.02385
578,233.74367
579,234.20807
580,234.39383
581,234.75374
582,235.22975
583,235.26459
584,236.01923
585,237.29633
586,237.36598
587,237.66785
588,237.76073
589,237.86522
590,238.01614
591,238.37605
592,238.58504
593,239.21198
594,239.30486
595,239.45578
596,239.62993
597,240.02467
598,240.15237
599,240.62839
600,240.93025
601,241.02313
602,241.63846
603,241.89388
604,242.00998
605,242.33505
606,242.486
607,243.02005
608,243.57733
609,243.7863
610,243.93724
611,244.599
612,245.60907
613,246.70041
614,247.02548
615,247.75691
616,248.02394
617,248.44191
618,249.0224
619,249.243
620,249.33588
621,249.51003
622,249.88155
623,251.03093
624,251.37923
625,251.48372
626,251.64626
627,252.01778
628,252.86531
629,253.14395
630,253.30649
631,253.49225
632,253.58513
633,253.92181
634,254.11919
635,254.38622
636,254.4791
637,254.80417
638,255.02477
639,255.44272
640,255.91873
641,256.52246
642,256.685
643,256.84753
644,256.97525
