,0
0,1.4048072
1,1.6602267
2,1.996916
3,2.3684354
4,2.577415
5,3.3436735
6,3.6803627
7,3.993832
8,4.1679816
9,4.4234014
10,6.5248075
11,7.0240364
12,7.836735
13,8.022494
14,9.020952
15,9.160272
16,10.01941
17,10.483809
18,11.017868
19,12.027937
20,12.341406
21,13.560453
22,14.640182
23,14.767891
24,15.801179
25,17.020227
26,19.017143
27,19.458323
28,19.586031
29,19.783401
30,20.0156
31,20.18975
32,21.02567
33,21.257868
34,21.582949
35,21.733877
36,22.024126
37,22.384037
38,22.523355
39,23.289614
40,23.881723
41,24.009434
42,24.473833
43,25.0195
44,25.50712
45,25.61161
46,25.739319
47,26.482359
48,27.028027
49,27.724627
50,27.933605
51,28.107756
52,28.363174
53,28.502495
54,28.769524
55,29.024942
56,30.4878
57,30.72
58,31.02186
59,31.323719
60,32.310566
61,32.658867
62,33.030384
63,33.332245
64,34.005623
65,34.330704
66,34.435192
67,34.679
68,35.0273
69,35.259502
70,36.02576
71,36.350838
72,36.490158
73,36.733967
74,37.02422
75,37.395737
76,37.697598
77,38.405804
78,38.905033
79,39.543583
80,39.85705
81,40.4956
82,41.01805
83,42.794376
84,43.920544
85,44.837734
86,45.02349
87,45.37179
88,45.82458
89,45.87102
90,46.02195
91,47.02041
92,47.171337
93,47.63574
94,48.715466
95,48.901226
96,49.667484
97,50.027393
98,51.74567
99,52.024307
100,52.22168
101,52.744125
102,53.022766
103,53.173695
104,53.278187
105,53.614876
106,53.719364
107,54.160545
108,55.019684
109,55.58857
110,56.01814
111,57.016598
112,57.898956
113,58.02667
114,58.734875
115,58.862583
116,59.025124
117,59.802994
118,60.685352
119,60.92916
120,61.12653
121,61.323902
122,61.5561
123,62.0205
124,62.14821
125,62.589386
126,63.959366
127,64.43537
128,64.911385
129,65.02748
130,65.79374
131,66.02594
132,67.639725
133,68.02286
134,68.47565
135,69.32317
136,70.019775
137,70.21714
138,71.2156
139,72.0283
140,72.99193
141,73.17769
142,73.68852
143,74.22259
144,75.023674
145,75.2907
146,76.02213
147,76.27755
148,77.02059
149,77.13669
150,77.54304
151,80.88671
152,81.13052
153,81.98966
154,82.18703
155,82.2683
156,82.37279
157,83.02295
158,83.498955
159,83.591835
160,84.02141
161,84.694786
162,85.01987
163,85.11275
164,85.240456
165,85.414604
166,85.44943
167,85.879005
168,85.971886
169,86.13442
170,86.3434
171,86.6917
172,86.88907
173,87.88753
174,88.02685
175,88.40998
176,88.47964
177,88.63057
178,88.76989
179,89.013695
180,89.106575
181,89.292336
182,89.50131
183,89.72191
184,90.116646
185,91.022224
186,91.28925
187,91.63755
188,91.90458
189,93.6693
190,94.00599
191,94.5981
192,95.01605
193,95.584946
194,96.02612
195,96.76916
196,97.02458
197,97.15229
198,97.38449
199,98.02304
200,98.266846
201,98.766075
202,99.0215
203,100.01995
204,100.6469
205,101.01841
206,101.79628
207,102.02848
208,102.1678
209,102.24907
210,102.6322
211,103.02694
212,103.52617
213,103.6771
214,103.816414
215,104.62911
216,104.733604
217,105.12834
218,105.48825
219,106.49832
220,106.9395
221,107.60127
222,108.019226
223,108.657776
224,109.656235
225,109.83038
226,110.109024
227,110.5502
228,110.805626
229,111.026215
230,111.525444
231,112.02467
232,113.01152
233,113.47592
234,113.6849
235,114.02158
236,114.7298
237,115.02004
238,115.170975
239,115.41479
240,116.20426
241,116.88925
242,117.00535
243,117.20272
244,117.9922
245,118.21279
246,118.83973
247,119.02549
248,119.1532
249,119.594376
250,119.94267
251,120.08199
252,120.26775
253,121.47519
254,121.916374
255,121.99764
256,122.97288
257,123.94812
258,124.377686
259,124.65633
260,125.794106
261,126.35139
262,126.94349
263,127.024765
264,127.81424
265,127.90712
266,128.41795
267,128.90558
268,129.31192
269,129.91565
270,130.02014
271,130.24072
272,131.21596
273,132.08672
274,132.21442
275,133.06195
276,133.96753
277,134.2926
278,134.91954
279,135.80191
280,136.78876
281,137.4273
282,138.19356
283,138.3561
284,138.73923
285,139.19202
286,139.44743
287,139.62158
288,139.93506
289,140.06276
290,140.52716
291,140.89868
292,141.0264
293,141.81587
294,142.02486
295,142.1874
296,142.67502
297,143.32516
298,143.42966
299,143.61542
300,144.02177
301,144.37007
302,144.91574
303,146.43665
304,146.8546
305,147.01714
306,147.21451
307,147.41188
308,147.45833
309,147.87628
310,148.0272
311,148.3755
312,149.00244
313,149.51329
314,150.24472
315,150.55818
316,151.0342
317,153.29814
318,154.15727
319,155.237
320,155.39955
321,155.43437
322,155.60852
323,155.64336
324,156.02649
325,156.43283
326,156.75792
327,157.38486
328,157.6635
329,157.74477
330,157.98857
331,158.0234
332,159.01025
333,160.15964
334,161.06522
335,161.29741
336,161.64572
337,161.94757
338,162.01723
339,162.20299
340,162.27266
341,162.40036
342,162.74866
343,162.88799
344,163.34077
345,163.42204
346,163.64262
347,163.92126
348,164.0722
349,164.4205
350,164.57143
351,164.67592
352,164.7688
353,164.8849
354,165.02422
355,165.05905
356,165.44218
357,165.61633
358,166.7541
359,166.95148
360,167.13724
361,167.76418
362,167.98476
363,168.01959
364,168.71619
365,168.83229
366,169.84236
367,171.51419
368,171.90894
369,173.0235
370,173.76653
371,174.25415
372,174.45152
373,175.25261
374,175.71701
375,175.84471
376,176.03047
377,177.4469
378,177.64426
379,178.02739
380,179.51347
381,179.69923
382,180.00108
383,180.54675
384,180.66286
385,180.89505
386,181.02277
387,181.62648
388,181.77742
389,181.88191
390,182.28825
391,182.52045
392,182.74104
393,183.58858
394,183.68146
395,183.87881
396,183.94849
397,184.01814
398,184.26195
399,184.54059
400,184.61024
401,184.99338
402,186.02667
403,186.23564
404,186.32852
405,186.60716
406,187.0019
407,187.6985
408,188.17451
409,188.3951
410,189.04526
411,189.85796
412,190.0205
413,190.11337
414,190.34558
415,190.89125
416,191.15828
417,191.36726
418,192.01741
419,192.51665
420,193.00426
421,193.10875
422,193.36417
423,193.5151
424,193.6312
425,193.9679
426,194.3162
427,194.82703
428,195.77905
429,195.89514
430,196.02286
431,196.48726
432,196.85878
433,197.02132
434,197.2303
435,197.38123
436,197.64825
437,198.62349
438,198.72798
439,198.8557
440,199.19238
441,199.40137
442,199.7961
443,200.23727
444,200.35338
445,200.70168
446,201.25896
447,201.92073
448,202.02522
449,202.28064
450,202.75664
451,202.89597
452,203.11655
453,203.66222
454,204.14984
455,204.24272
456,204.9277
457,205.17152
458,205.92616
459,206.3209
460,206.79692
461,206.9943
462,207.67928
463,208.02757
464,208.3991
465,208.6429
466,209.01442
467,209.20018
468,209.72263
469,210.07092
470,210.98811
471,211.12744
472,211.53378
473,211.96335
474,212.2304
475,212.38132
476,212.63673
477,212.8341
478,214.54077
479,216.0849
480,216.34032
481,216.90921
482,217.07175
483,217.55937
484,218.01216
485,218.31401
486,218.523
487,219.02222
488,219.13832
489,219.39374
490,220.02068
491,220.57796
492,221.04236
493,221.83183
494,221.92471
495,222.14531
496,222.18013
497,222.30785
498,222.64453
499,222.81868
500,222.9464
501,223.01605
502,223.23665
